-100, 0.14864
-99, 0.13513
-98, 0.12285
-97, 0.11168
-96, 0.10153
-95, 0.09230
-94, 0.08391
-93, 0.07628
-92, 0.06934
-91, 0.06304
-90, 0.05731
-89, 0.05210
-88, 0.04736
-87, 0.04306
-86, 0.03914
-85, 0.03558
-84, 0.03235
-83, 0.02941
-82, 0.02673
-81, 0.02430
-80, 1.00000
-79, 0.90909
-78, 0.82645
-77, 0.75131
-76, 0.68301
-75, 0.62092
-74, 0.56447
-73, 0.51316
-72, 0.46651
-71, 0.42410
-70, 0.38554
-69, 0.35049
-68, 0.31863
-67, 0.28966
-66, 0.26333
-65, 0.23939
-64, 0.21763
-63, 0.19784
-62, 0.17986
-61, 0.16351
-60, 0.14864
-59, 0.13513
-58, 0.12285
-57, 0.11168
-56, 0.10153
-55, 0.09230
-54, 0.08391
-53, 0.07628
-52, 0.06934
-51, 0.06304
-50, 0.05731
-49, 0.05210
-48, 0.04736
-47, 0.04306
-46, 0.03914
-45, 0.03558
-44, 0.03235
-43, 0.02941
-42, 0.02673
-41, 0.02430
-40, 1.00000
-39, 0.90909
-38, 0.82645
-37, 0.75131
-36, 0.68301
-35, 0.62092
-34, 0.56447
-33, 0.51316
-32, 0.46651
-31, 0.42410
-30, 0.38554
-29, 0.35049
-28, 0.31863
-27, 0.28966
-26, 0.26333
-25, 0.23939
-24, 0.21763
-23, 0.19784
-22, 0.17986
-21, 0.16351
-20, 0.14864
-19, 0.13513
-18, 0.12285
-17, 0.11168
-16, 0.10153
-15, 0.09230
-14, 0.08391
-13, 0.07628
-12, 0.06934
-11, 0.06304
-10, 0.05731
-9, 0.05210
-8, 0.04736
-7, 0.04306
-6, 0.03914
-5, 0.03558
-4, 0.03235
-3, 0.02941
-2, 0.02673
-1, 0.02430
0, 1.00000
1, 0.90909
2, 0.82645
3, 0.75131
4, 0.68301
5, 0.62092
6, 0.56447
7, 0.51316
8, 0.46651
9, 0.42410
10, 0.38554
11, 0.35049
12, 0.31863
13, 0.28966
14, 0.26333
15, 0.23939
16, 0.21763
17, 0.19784
18, 0.17986
19, 0.16351
20, 0.14864
21, 0.13513
22, 0.12285
23, 0.11168
24, 0.10153
25, 0.09230
26, 0.08391
27, 0.07628
28, 0.06934
29, 0.06304
30, 0.05731
31, 0.05210
32, 0.04736
33, 0.04306
34, 0.03914
35, 0.03558
36, 0.03235
37, 0.02941
38, 0.02673
39, 0.02430
40, 1.00000
41, 0.90909
42, 0.82645
43, 0.75131
44, 0.68301
45, 0.62092
46, 0.56447
47, 0.51316
48, 0.46651
49, 0.42410
50, 0.38554
51, 0.35049
52, 0.31863
53, 0.28966
54, 0.26333
55, 0.23939
56, 0.21763
57, 0.19784
58, 0.17986
59, 0.16351
60, 0.14864
61, 0.13513
62, 0.12285
63, 0.11168
64, 0.10153
65, 0.09230
66, 0.08391
67, 0.07628
68, 0.06934
69, 0.06304
70, 0.05731
71, 0.05210
72, 0.04736
73, 0.04306
74, 0.03914
75, 0.03558
76, 0.03235
77, 0.02941
78, 0.02673
79, 0.02430
80, 1.00000
81, 0.90909
82, 0.82645
83, 0.75131
84, 0.68301
85, 0.62092
86, 0.56447
87, 0.51316
88, 0.46651
89, 0.42410
90, 0.38554
91, 0.35049
92, 0.31863
93, 0.28966
94, 0.26333
95, 0.23939
96, 0.21763
97, 0.19784
98, 0.17986
99, 0.16351
100, 0.14864
